ObjectID,GlobalID,Número de informe MIRA,Tipo de incendio,Fecha de registro del evento,Departamento,Fuente,Área,CreationDate,Creator,EditDate,Editor,x,y,link fuente,,,,,,,
79,7325faa6-03ce-431c-91a3-68f02979c2d9,497,Forestal_Plantado,10-Dec-19,Rocha,cecoed,2000,6/8/2022 21:52,sinae_covid_19,6/8/2022 21:52,sinae_covid_19,-53.62968067,-34.10280366,https://970universal.com/2019/12/12/rocha-bajo-la-intensidad-del-fuego-pero-el-incendio-no-esta-controlado/,,,,,,,
58,d3fba778-d777-4d44-b23f-08ce69f4d1c6,925,Forestal_Plantado,20-Dec-21,Flores,sgsp,74,5/26/2022 19:30,sinae_covid_19,5/26/2022 19:30,sinae_covid_19,-56.90146016,-33.82907045,https://datacommons.org/disasters/wikidataId/Q16578#disaster_cat_0_blk_0=%7B%22date%22%3A%222021-12%22%7D,,,,,,,
24,154517d8-20b0-4492-b231-ae2f8f205e25,848,Forestal_Plantado,11-Jan-22,Rocha,prensa,69,5/25/2022 14:58,sinae_covid_19,5/25/2022 14:58,sinae_covid_19,-53.88862472,-34.41575604,https://datacommons.org/disasters/wikidataId/Q16582#disaster_cat_0_blk_0=%7B%22date%22%3A%222022-01%22%7D,,,,,,,
97,e2e2cb1f-871b-48ae-a69b-293693018635,811,Forestal_Plantado,22-Dec-21,Tacuarembo,cecoed,272,6/10/2022 12:51,sinae_covid_19,6/10/2022 12:51,sinae_covid_19,-56.00311283,-31.74392409,https://datacommons.org/disasters/wikidataId/Q16587#disaster_cat_0_blk_0=%7B%22date%22%3A%222021-12%22%7D,,,,,,,
57,6256e96b-e0d9-48eb-b876-e50f1c314e90,927,Forestal_Plantado,22-Dec-21,Tacuarembo,sgsp,272,5/26/2022 19:12,sinae_covid_19,5/26/2022 19:12,sinae_covid_19,-55.92945896,-31.69418313,https://datacommons.org/disasters/wikidataId/Q16587#disaster_cat_0_blk_0=%7B%22date%22%3A%222021-12%22%7D,,,,,,,
34,207de1d1-0974-4b40-9afc-a088200afd82,952,Forestal_Plantado,6-Jan-22,Rio_Negro,sgsp,267,5/25/2022 16:50,sinae_covid_19,5/25/2022 16:50,sinae_covid_19,-57.95662318,-32.84937173,https://datacommons.org/disasters/wikidataId/Q16596#disaster_cat_0_blk_0=%7B%22date%22%3A%222022-01%22%7D,,,,,,,
27,40b5dd5f-39d7-43ae-951b-a0f546c81536,959,Forestal_Plantado,9-Jan-22,Rio_Negro,sgsp,267,5/25/2022 15:43,sinae_covid_19,5/25/2022 15:43,sinae_covid_19,-57.98003553,-32.91997445,https://datacommons.org/disasters/wikidataId/Q16596#disaster_cat_0_blk_0=%7B%22date%22%3A%222022-01%22%7D,,,,,,,
32,4153e4b4-6d5c-4583-8373-1c226160eaf2,954,Forestal_Plantado,6-Jan-22,Lavalleja,sgsp,70,5/25/2022 16:41,sinae_covid_19,5/25/2022 16:41,sinae_covid_19,-55.07288614,-34.07669362,https://datacommons.org/disasters/wikidataId/Q460435#disaster_cat_0_blk_0=%7B%22date%22%3A%222022-01%22%7D,,,,,,,
63,6a296ac2-6f77-486f-b7ed-ce9cc672d14f,917,De_Campo,14-Dec-21,Rio_Negro,sgsp,1200,5/27/2022 16:06,sinae_covid_19,5/27/2022 16:06,sinae_covid_19,-58.10262313,-33.11799559,https://www.elobservador.com.uy/nota/evaluan-evacuar-a-900-personas-en-rio-negro-por-un-incendio-2021123015158,,,,,,,
51,5e816ae1-6ba1-4bcd-8725-8f7f1bca3775,821,Forestal_Plantado,28-Dec-21,Paysandu,cecoed,7500,5/26/2022 16:42,sinae_covid_19,5/26/2022 16:42,sinae_covid_19,-57.55211939,-32.41366776,https://www.elpais.com.uy/informacion/policiales/lacalle-pou-viajo-a-zona-afectada-por-incendio-record-se-quemaron-22-000-hectareas-de-campos-en-paysandu-y-rio-negro?utm_source=app&utm_medium=cpc&utm_campaign=whatsapp,,,,,,,
54,15628974-efd0-41e6-aa5b-e04df98f7051,930,Forestal_Plantado,25-Dec-21,Paysandu,sgsp,7500,5/26/2022 17:14,sinae_covid_19,5/26/2022 17:14,sinae_covid_19,-57.62008711,-32.37262011,https://www.elpais.com.uy/informacion/policiales/lacalle-pou-viajo-a-zona-afectada-por-incendio-record-se-quemaron-22-000-hectareas-de-campos-en-paysandu-y-rio-negro?utm_source=app&utm_medium=cpc&utm_campaign=whatsapp,,,,,,,
