Longitud,Latitud,2010_011,2010_012,2010_013,2010_010,2010_021,2010_022,2010_023,2010_020,2010_031,2010_032,2010_033,2010_030,2010_041,2010_042,2010_043,2010_040,2010_051,2010_052,2010_053,2010_050,2010_061,2010_062,2010_063,2010_060,2010_071,2010_072,2010_073,2010_070,2010_081,2010_082,2010_083,2010_080,2010_091,2010_092,2010_093,2010_090,2010_101,2010_102,2010_103,2010_100,2010_111,2010_112,2010_113,2010_110,2010_121,2010_122,2010_123,2010_120
-57.0,-34.6667,80.83997183,79.26803089,66.68199093,75.30909443,85.85829786,84.28477457,92.45736644,87.36369042,76.56200245,61.88512114,66.322125,68.19401971,54.89698219,77.04105166,84.88451193,72.27418193,76.52396401,70.72813976,85.28216284,77.76209126,95.41242864,98.35384005,97.05195746,96.93940872,98.38393509,99.68369833,99.13632141,99.07018934,98.02205440000002,98.42753909,90.86641309999999,95.61375739,97.05535520000001,94.49771807,85.13423845,92.22910391,81.91089575,80.75581811,69.45147167,77.11720409,65.22360534,57.35307385,42.53442762,55.0370356,28.92975096,32.82710459,21.88510529,27.68724883
-56.6667,-34.6667,77.47490749,79.13740534,70.62366538,75.58011121,87.00528912,82.91152981,92.27336527,87.22856816,76.30806958,60.56039335,63.01086656,66.50981166,52.19582235,80.03396131,93.11969344,75.11649236,84.50914996,78.03121816,92.10042953,85.11317439,95.36012359,98.34039946,97.13235173,96.94429159,98.32446318,99.621946,99.22920543,99.0640436,97.42884807,98.27315938,90.23491061,95.14851907,96.95574128,94.27686695,84.74079829,91.99113551,79.65261638,78.88096518,68.84255916,75.56786989,65.95339285,58.71001838,43.25761045,55.973673899999994,28.84355624,43.43250521,28.2783679,33.34911811
-56.3333,-34.6667,68.93917153,75.97614300000001,69.09504090000001,71.26447081,85.39533364,82.54544633,92.06812468,86.48348006,81.47252184,62.97463026,58.26179128,67.26939436,47.98061775,63.6101674,74.66006297,62.08361604,79.22857791,87.31178864,91.15885636,86.06938985,93.54104813,98.26264938,97.0890007,96.29756607,97.81288632,99.91202120000001,98.98380904,98.90551531,95.88851951,97.78593843,88.60485436,93.91606379,96.90622104,94.51304667,83.02980314,91.48302362,75.0090616,73.53066524,64.66563299,70.86191069,57.72125053,48.82746624,34.73205885,47.09359187,22.41622365,27.79497292,16.84416944,22.17412353
-56.0,-34.6667,65.06060907,70.92354787,65.46027288,67.09369584,85.6228009,83.10677884,91.00641655,86.42598435,82.92356596,68.07818717,65.86758216,72.08261081,52.79887645,80.25029199,94.21326864,75.75414569,87.61918662,82.97273486,91.95064267,87.65729949,95.69832189,98.48529072,97.36366961,97.18242741,97.17438178,99.87217364,99.30674988,98.80128396,96.33213552,97.72557608,87.77259786,93.74437718,97.08332859,95.36666692,85.23386088,92.56128546,82.74703296,72.2424363,60.15005438,71.34017067,56.52679421,51.12665233,34.99118842,47.54821165,21.36248536,27.95763795,16.05578102,21.60692982
-55.6667,-34.6667,65.10565563,74.27683833,60.57474171,66.45635801,84.92733551,84.96248369,88.83629097,86.15257968,74.3346204,58.69937639,63.23605767,65.35279362,46.88000996,81.01713004,91.81970207,73.23894736,80.97220957,72.19915309,85.01875348,79.57806177,94.41573249999999,98.18328883,97.347188,96.64873644,96.79586542,99.56029031,99.3826326,98.60550051,94.92398642,97.93868066,86.73631753,92.99116657,96.14950093,93.83449420000001,79.23839751,89.74079755,72.73390665,57.12388797,43.71742294,57.40224512,44.40457356,44.79450777,27.26517885,38.82142006,14.23659741,32.78277233,16.3739782,20.97765992
-55.3333,-34.6667,60.003826000000004,70.66912506,53.39616462,61.09959102,85.71003758,88.35889479,87.58499977,87.20532144,63.93488168,48.20993089,58.83076237,57.05117779999999,42.11275501,77.96216688,91.40199844,70.49230678,79.54685284,69.64298977,84.0989557,77.96732061,93.88298229,98.09381783,97.84913461,96.60864491,96.52313492,99.31617371,99.28203797,98.40308077,93.23432493,98.0382515,87.2530896,92.66160484,95.24472025,93.07264168,73.81176466,87.37637553,60.57235479,43.76224239,31.42573503,44.80738894,34.51800427,40.38053729999999,23.83744131,32.91199429,11.73572606,39.69553477,22.06032184,24.41858544
-55.0,-34.6667,53.94275157,47.76319369,40.821537,47.29343095,88.40664331,81.08045708,86.16309539,85.1840987,57.25652841,44.62464176,61.33359926,54.62842883,42.19567064,77.24971049,91.31783333,70.25440482,78.57782305,67.66668671,88.30713997,78.51043991,93.26502966,97.20383785,97.16013632,95.87633461,96.26243708,99.25089333,99.01965434,98.20482264,91.40247246,95.30414029,83.23131234,89.76163107,94.30341536,90.45090959,71.54301431,85.43244642,57.90830528,40.1533722,28.55498781,41.76521422,34.52905801,42.70127911,24.19376416,33.80803376,11.60970905,51.67155336,31.38883843,31.55128538
-54.6667,-34.6667,62.70817342,56.51120928,42.77429803,53.63584211,83.94211766,76.51616109999999,87.76709195,82.56850397,63.18891707,54.07524013,67.97818838,61.94844014,49.28563589,76.72479091,89.61820127,71.87620936,77.54442203,68.65001239,89.61796079,78.95941654,94.20948448,97.30474171,97.71216278,96.40879632,97.04299859999999,99.42370968,99.16994465,98.56569271,93.55633162,95.73471494,85.21982982,91.30092238,94.772275,90.59145865,75.25315921,86.87229762,62.91592565,44.20175314,32.50786952,46.0891404,37.2952083,43.63724059,28.22834158,36.38693015,15.49475834,43.41162091,25.4015228,28.015501399999998
-54.3333,-34.6667,61.386021400000004,63.05799098,49.36196201,57.65876471,83.54569639,79.26645672,89.3021707,83.85658853,71.99319558,61.68658516,67.23750248,66.98097854,52.72726723,73.46974725,82.37082863,69.52261437,73.75607979,67.79461332,89.05252315,77.26079632,95.60386308,97.35294252,98.01259913,96.98980157,97.98072937,99.62753836,99.38617746,99.01066546,96.15154612,95.82450578,87.17760626,92.86174799999999,95.95859697,92.80326238,78.99278427,89.25154788,65.41187363,49.16534788,36.78569138,50.0133813,37.54217225,45.1244436,34.34540957,39.00400847,20.9625477,26.60950858,17.80080575,21.66223955
-54.0,-34.6667,64.73614005,63.97966252,47.90575378,58.52004249,82.10739244,79.28002661,73.32954208,78.40827825,61.14069757,58.54316024,50.45268678,56.51026234,41.62647067,58.96066441,67.98130409,56.18947972,62.36249101,58.01681176,67.88582259,62.92055084,72.68168239,70.29948854,81.29219422,74.75778838,95.60076726,99.3835957,99.50854406,98.20766498,96.09873148,96.43903531,89.40843963,93.83453238,96.32413313,87.29698092,74.16267586,85.92792997,60.63672989,47.707783899999995,35.960454600000006,47.71000447,27.74397234,32.7832839,29.2437526,29.92366961,19.75945883,19.36812368,13.03644051,17.24763454
